,year_release,song_name,artist_name,popularity,danceability,energy,duration_ms,valence,interval
50,2018,Jonestown (Interlude),['Post Malone'],62,0.38,0.454,112013,0.288,2015-2019
104,2019,Oud Interlude,['Shindy'],44,0.597,0.484,190437,0.612,2015-2019
12137,2018,Nur wegen dir,['AnnenMayKantereit'],58,0.677,0.654,181100,0.716,2015-2019
6819,2018,Better Now,['Post Malone'],86,0.68,0.578,231266,0.341,2015-2019
11666,2017,"That's My N**** (with Meek Mill, YG & Snoop Dogg)","['Meek Mill', 'YG', 'Snoop Dogg']",73,0.723,0.732,199746,0.503,2015-2019
1899,2018,Privilege,['The Weeknd'],13,0.391,0.595,170573,0.379,2015-2019
5891,2019,i apologise if you feel something,['Bring Me The Horizon'],56,0.211,0.361,139563,0.0537,2015-2019
13099,2018,Szenen im Hotel (feat. reezy),"['Bausa', 'reezy']",42,0.641,0.514,177251,0.0794,2015-2019
5112,2015,Bang,['Anitta'],57,0.896,0.847,190280,0.805,2015-2019
3696,2017,New,['Daya'],2,0.717,0.743,230879,0.321,2015-2019
1811,2018,P*Tain de m*Rde,['Naza'],57,0.775,0.802,197160,0.804,2015-2019
13352,2019,Heavy Hearted,['The Jungle Giants'],66,0.642,0.887,256581,0.246,2015-2019
8856,2019,Little Square UBitchU (feat. Anitta),"['Snoop Dogg', 'Anitta']",56,0.897,0.751,134928,0.772,2015-2019
9590,2018,Bad Boy,['Marwa Loud'],2,0.796,0.496,187844,0.716,2015-2019
12830,2019,Nicht die Musik,['KUMMER'],53,0.649,0.714,118871,0.274,2015-2019
8161,2018,Chabba macht Parra,['Olexesh'],33,0.865,0.582,229206,0.19,2015-2019
68,2017,Es Rollt,"['Maxwell', 'Tory Lanez', 'Gzuz']",41,0.405,0.653,224967,0.208,2015-2019
1617,2017,Mister T,['Ufo361'],44,0.671,0.719,266400,0.515,2015-2019
13397,2016,Be Alright,['Ariana Grande'],70,0.813,0.456,179293,0.587,2015-2019
9852,2017,Transportin',['Kodak Black'],71,0.804,0.66,169344,0.257,2015-2019
8972,2017,Body Like A Back Road,['Sam Hunt'],79,0.732,0.458,165386,0.661,2015-2019
11639,2019,I'm Scared (feat. 21 Savage & Doe Boy),"['Young Thug', '21 Savage', 'Doe Boy']",56,0.909,0.414,200733,0.138,2015-2019
6309,2018,Final Fantasy,['Drake'],2,0.461,0.449,219960,0.104,2015-2019
11077,2017,• TEMPTED,['Jazz Cartier'],44,0.834,0.477,221893,0.33,2015-2019
12480,2019,EFH,['Shindy'],55,0.656,0.657,180661,0.264,2015-2019
1726,2018,Como é Que Faz (feat. Jerry Smith),"['Rob Nunes', 'Jerry Smith']",48,0.771,0.719,160651,0.904,2015-2019
7973,2019,Ayy Macarena,['Tyga'],85,0.816,0.63,131606,0.715,2015-2019
6374,2017,Laisse pas traîner ton fils (feat. Sofiane),"['Ninho', 'Sofiane']",53,0.646,0.735,211000,0.37,2015-2019
8229,2019,Loka 4,['T2R'],58,0.888,0.579,204878,0.608,2015-2019
9899,2019,A Whole New World,"['Mena Massoud', 'Naomi Scott']",69,0.395,0.375,175593,0.131,2015-2019
7923,2017,Running Back (feat. Lil Wayne),"['Wale', 'Lil Wayne']",57,0.587,0.671,215360,0.1,2015-2019
3286,2019,Something Real (with London On Da Track & Chris Brown),"['Summer Walker', 'London On Da Track', 'Chris Brown']",71,0.685,0.667,183137,0.643,2015-2019
5728,2019,Coincide,['Catfish and the Bottlemen'],49,0.503,0.858,186000,0.442,2015-2019
4544,2017,Dalé,"['Alonzo', 'Lartiste']",0,0.785,0.927,182666,0.55,2015-2019
7328,2019,Instagram,"['Dimitri Vegas & Like Mike', 'David Guetta', 'Daddy Yankee', 'Afro Bros', 'Natti Natasha', 'Dimitri Vegas', 'Like Mike']",80,0.765,0.906,184558,0.95,2015-2019
7197,2019,Augen,['Mois'],44,0.597,0.67,169786,0.348,2015-2019
3750,2017,1ne Million,['Maxwell'],34,0.454,0.802,160200,0.673,2015-2019
9908,2015,Santa Baby,['Kylie Minogue'],38,0.675,0.384,201653,0.416,2015-2019
3214,2019,Boy With Luv - Japanese ver.,['BTS'],53,0.677,0.843,231226,0.807,2015-2019
7389,2017,Get It Together,"['Drake', 'Black Coffee', 'Jorja Smith']",70,0.781,0.721,250337,0.849,2015-2019
8931,2019,Hollywood,['Lewis Capaldi'],69,0.723,0.669,191843,0.732,2015-2019
2694,2019,December,['Bugzy Malone'],59,0.577,0.656,262915,0.118,2015-2019
424,2017,Old Friends - Jonas Blue Remix,"['Jasmine Thompson', 'Jonas Blue']",48,0.646,0.744,174733,0.358,2015-2019
6572,2018,Astronauts,"['Future', 'Juice WRLD']",64,0.732,0.586,169920,0.73,2015-2019
9670,2018,Amigo,"['Alonzo', 'Dj Spike Miller']",41,0.663,0.848,172988,0.747,2015-2019
9964,2019,Steige ein,['BRADO'],40,0.694,0.875,149599,0.684,2015-2019
7723,2018,GOTTI,['6ix9ine'],71,0.728,0.584,166851,0.365,2015-2019
7271,2017,Please Don't Lie,['Hugo Helmig'],7,0.707,0.594,212112,0.591,2015-2019
4950,2017,Take It Back,['Logic'],58,0.837,0.84,400013,0.692,2015-2019
8043,2019,"West Coast (feat. Blueface, ALLBLACK & YG)","['G-Eazy', 'Blueface', 'ALLBLACK', 'YG']",66,0.882,0.775,256966,0.805,2015-2019
4864,2019,Rockstar,['RK'],60,0.744,0.758,222690,0.448,2015-2019
13607,2017,Nightlife,['RIN'],0,0.837,0.558,248506,0.746,2015-2019
4054,2017,Collision,['Still Fresh'],46,0.775,0.568,221666,0.478,2015-2019
10062,2017,Saved,['Khalid'],75,0.739,0.448,206533,0.553,2015-2019
5861,2016,Humain,['PNL'],53,0.673,0.572,278893,0.257,2015-2019
6127,2018,Chanel (feat. Swae Lee & Pharrell) - From Jxmtro,"['Rae Sremmurd', 'Swae Lee', 'Slim Jxmmi', 'Pharrell Williams']",1,0.98,0.713,264001,0.67,2015-2019
10134,2018,Random,['Eddy de Pretto'],0,0.621,0.596,250600,0.476,2015-2019
9463,2019,Pior Que Possa Imaginar,['Luísa Sonza'],59,0.655,0.816,136406,0.644,2015-2019
1603,2016,Malandramente,"['Dennis DJ', 'MC Nandinho', 'Nego Bam']",57,0.91,0.804,171692,0.712,2015-2019
6987,2018,Let Me Live (feat. Anne-Marie & Mr Eazi),"['Rudimental', 'Major Lazer', 'Anne-Marie', 'Mr Eazi']",61,0.662,0.844,205760,0.763,2015-2019
8266,2019,COMO UN BEBÉ,"['J Balvin', 'Bad Bunny', 'Mr Eazi']",74,0.825,0.807,218826,0.816,2015-2019
6599,2017,Carry You Home,"['Tiësto', 'Stargate', 'Aloe Blacc']",44,0.518,0.724,192731,0.334,2015-2019
7110,2018,Champion Sound,"['Marteria', 'Casper']",42,0.482,0.905,235746,0.344,2015-2019
3969,2017,Ascension (feat. Vince Staples),"['Gorillaz', 'Vince Staples']",61,0.676,0.905,155973,0.519,2015-2019
5895,2017,Dozo,['Kaaris'],0,0.605,0.57,182813,0.275,2015-2019
1109,2018,マリーゴールド,['Aimyon'],55,0.545,0.745,306626,0.413,2015-2019
9266,2018,Parece Namoro - Ao Vivo | Acústico,['Marília Mendonça'],57,0.925,0.59,155199,0.681,2015-2019
9696,2018,Champion,['Luciano'],48,0.872,0.458,144253,0.358,2015-2019
11482,2019,Change,['ONE OK ROCK'],51,0.493,0.729,176946,0.34,2015-2019
10263,2019,Enemies (feat. DaBaby),"['Post Malone', 'DaBaby']",83,0.542,0.674,196760,0.667,2015-2019
5190,2019,ME! (feat. Brendon Urie of Panic! At The Disco),"['Taylor Swift', 'Brendon Urie', 'Panic! At The Disco']",23,0.614,0.839,193040,0.657,2015-2019
9085,2018,Old Town Road,['Lil Nas X'],10,0.909,0.517,113005,0.471,2015-2019
6216,2019,Evapora,"['IZA', 'Ciara', 'Major Lazer']",67,0.69,0.707,127075,0.681,2015-2019
3816,2018,Echographie,['Hornet La Frappe'],34,0.852,0.498,194693,0.454,2015-2019
1454,2016,Tiimmy Turner,['Desiigner'],72,0.603,0.725,239853,0.304,2015-2019
11018,2017,7 Min Freestyle,['21 Savage'],0,0.844,0.454,431586,0.274,2015-2019
11172,2019,Kuroi Hitsuji,['Keyakizaka46'],40,0.508,0.943,307600,0.399,2015-2019
11154,2019,Des flingues et des roses,['Niska'],52,0.853,0.784,176000,0.575,2015-2019
4777,2019,Golf7 r,['Kaaris'],41,0.862,0.821,236853,0.824,2015-2019
12793,2017,Perfect Strangers,"['Jonas Blue', 'JP Cooper']",47,0.739,0.833,195313,0.699,2015-2019
8742,2018,Allô Allô,['Sugar MMFK'],35,0.788,0.674,200161,0.574,2015-2019
9050,2018,Outro: Tear,['BTS'],63,0.711,0.903,284980,0.467,2015-2019
4293,2019,LADRÃO,['Djonga'],57,0.923,0.673,262400,0.339,2015-2019
4295,2018,JAPAN,['Famous Dex'],57,0.733,0.678,144149,0.841,2015-2019
11590,2017,Feu d'artifice,"['Alonzo', 'MHD']",0,0.86,0.755,175013,0.514,2015-2019
1793,2017,"No Flag (feat. Nicki Minaj, 21 Savage & Offset)","['London On Da Track', 'Nicki Minaj', '21 Savage', 'Offset']",55,0.809,0.58,212383,0.146,2015-2019
5478,2018,Head On (feat. Kevin Gates),"['YoungBoy Never Broke Again', 'Kevin Gates']",0,0.897,0.628,117995,0.636,2015-2019
3574,2019,Bebe e Vem Me Procurar,['Raí Saia Rodada'],70,0.571,0.941,154291,0.969,2015-2019
5406,2019,Deux frères,['PNL'],65,0.794,0.659,247459,0.308,2015-2019
5723,2017,Wo Wo Wo,['Krept & Konan'],0,0.816,0.369,211648,0.272,2015-2019
12034,2019,Arc-en-ciel,['Booba'],64,0.583,0.418,169846,0.357,2015-2019
4388,2017,Down,"['Fifth Harmony', 'Gucci Mane']",2,0.53,0.512,165200,0.401,2015-2019
8104,2019,Block,['Larry'],64,0.715,0.743,157253,0.711,2015-2019
8696,2019,Rodéo,"['Eva', 'Kidaki']",46,0.805,0.735,168072,0.525,2015-2019
6224,2018,Drück Drück (feat. LX),"['Gzuz', 'LX']",1,0.441,0.876,219363,0.408,2015-2019
10776,2019,Kafa Leyla,"['BRADO', 'MERO']",62,0.765,0.858,154132,0.871,2015-2019
5142,2018,Bart Simpson,"['Columbine', 'Lujipeka']",47,0.359,0.723,185173,0.44,2015-2019
2733,2019,Lichter der Stadt,"['Bushido', 'Animus']",52,0.545,0.896,153200,0.541,2015-2019
789,2017,Somethin Tells Me,['Bryson Tiller'],58,0.735,0.588,194266,0.434,2015-2019
192,2018,Dark Vader,['J Hus'],57,0.866,0.845,169360,0.789,2015-2019
956,2017,Si Tu Novio Te Deja Sola,"['J Balvin', 'Bad Bunny']",2,0.716,0.461,243560,0.535,2015-2019
4130,2018,Tokarev,['SCH'],47,0.689,0.709,171506,0.46,2015-2019
4206,2018,High Five,['Sigrid'],6,0.651,0.628,169369,0.513,2015-2019
8028,2017,Tabasco,"['KC Rebell', 'Summer Cem']",47,0.644,0.678,203625,0.421,2015-2019
3239,2019,Ca Va?,['Vickeblanka'],45,0.737,0.889,250479,0.387,2015-2019
9250,2018,PGP,['Ninho'],47,0.409,0.705,221320,0.305,2015-2019
3507,2017,113,"['Booba', 'Damso']",1,0.734,0.844,153840,0.258,2015-2019
1188,2017,But A Dream,['G-Eazy'],58,0.583,0.685,206426,0.44,2015-2019
3216,2019,Alphagenetik,['Kollegah'],55,0.461,0.816,221960,0.654,2015-2019
3833,2015,Idfc,['blackbear'],81,0.63,0.5,245172,0.315,2015-2019
4393,2017,GPS (feat. French Montana),"['Maluma', 'French Montana']",64,0.841,0.629,216306,0.676,2015-2019
3602,2018,Chavinho - Ao Vivo,['Raffa Torres'],0,0.519,0.284,161002,0.543,2015-2019
38,2016,You Were Right,['RÜFÜS DU SOL'],48,0.708,0.793,239417,0.735,2015-2019
5245,2018,TGV,['Veysel'],42,0.871,0.846,142786,0.892,2015-2019
1227,2019,Rollerblades (feat. KC Rebell),"['Summer Cem', 'KC Rebell']",63,0.85,0.675,157333,0.701,2015-2019
5994,2018,Zu dir,['LEA'],2,0.844,0.591,183826,0.327,2015-2019
13677,2019,Du weißt,"['Trettmann', 'KitschKrieg', 'Gzuz']",62,0.899,0.599,179524,0.807,2015-2019
13790,2018,Zona de Risco (feat. Maiara & Maraisa) - Ao Vivo,"['Fernando & Sorocaba', 'Maiara & Maraisa']",62,0.652,0.918,182850,0.803,2015-2019
12019,2019,インフェルノ,['Mrs. GREEN APPLE'],68,0.529,0.931,212546,0.695,2015-2019
13754,2018,Kikadinha,['Jerry Smith'],57,0.756,0.662,146086,0.848,2015-2019
8620,2016,Can I Be Him,['James Arthur'],79,0.696,0.543,246880,0.479,2015-2019
403,2018,Não Atende Não,['Wesley Safadão'],60,0.374,0.953,157689,0.575,2015-2019
9894,2018,Magisch,"['Olexesh', 'Edin']",62,0.584,0.655,247708,0.539,2015-2019
660,2019,Benzin,['Kontra K'],56,0.683,0.782,204379,0.429,2015-2019
7875,2017,Wolves,"['Selena Gomez', 'Marshmello']",81,0.724,0.804,197993,0.306,2015-2019
6543,2017,Scars,['Sam Smith'],54,0.567,0.399,183535,0.431,2015-2019
8264,2015,Não Me Deixe Sozinho,['Nego do Borel'],47,0.782,0.919,151680,0.691,2015-2019
6699,2019,Tussin (feat. Young Thug),"['NAV', 'Young Thug']",0,0.662,0.503,179519,0.315,2015-2019
4741,2019,Que Calor (with J Balvin & El Alfa),"['Major Lazer', 'J Balvin', 'El Alfa', 'Diplo']",51,0.795,0.885,169997,0.46,2015-2019
4840,2018,"I don’t even speak spanish lol - feat. Rio Santana, Judah, Andrez Babii","['XXXTENTACION', 'Rio Santana', 'Judah', 'Andrez Babii']",68,0.767,0.561,192229,0.542,2015-2019
3227,2017,Love U Better (feat. Lil Wayne & The-Dream),"['Ty Dolla $ign', 'Lil Wayne', 'The-Dream']",2,0.482,0.477,182833,0.379,2015-2019
2115,2016,Ordinary Life,['The Weeknd'],47,0.544,0.586,221920,0.361,2015-2019
620,2017,La zone,"['Jul', 'Hors Ligne']",35,0.824,0.747,192280,0.685,2015-2019
6567,2018,So lang die Strasse lebt,"['Azet', 'Zuna']",41,0.5,0.741,188653,0.345,2015-2019
2664,2019,Walk Me Home,['P!nk'],70,0.652,0.453,177390,0.432,2015-2019
2545,2019,Tap (feat. Meek Mill),"['NAV', 'Meek Mill']",5,0.901,0.676,148278,0.452,2015-2019
10402,2017,Killed Before,['Young Thug'],57,0.697,0.675,220706,0.292,2015-2019
11306,2018,Fé (feat. Gabi Andrade),"['EME', 'Almy', 'Gabi Andrade']",22,0.546,0.92,184615,0.22,2015-2019
3,2011,Fantastic Boy,['BIGBANG'],0,0.725,0.836,232586,0.544,2010-2014
21,1957,Blue Christmas,['Elvis Presley'],53,0.465,0.27,129173,0.58,1955-1959
55,2006,Story,['AI'],60,0.586,0.632,288506,0.391,2005-2009
64,2013,"Work REMIX (feat. A$AP Rocky, French Montana, Trinidad James & ScHoolboy Q)","['A$AP Ferg', 'A$AP Rocky', 'French Montana', 'Trinidad James', 'ScHoolboy Q']",70,0.841,0.733,283693,0.284,2010-2014
118,2004,HERO,['Mr.Children'],46,0.552,0.564,341093,0.658,2000-2004
146,2006,春の歌,['SPITZ'],54,0.276,0.863,283240,0.614,2005-2009
181,2003,Drei Haselnüsse für Aschenbrödel: Einleitung,"['Karel Svoboda', 'František Pavlíček', 'Václav Vorlíček', 'Film Symphony Orchestra', 'Stepan Konicek']",3,0.456,0.537,277893,0.289,2000-2004
211,2013,Sweater Weather,['The Neighbourhood'],82,0.612,0.807,240400,0.398,2010-2014
274,1993,Christmas Through Your Eyes,['Gloria Estefan'],24,0.53,0.421,300733,0.4,1990-1994
297,1987,Santa Baby,['Madonna'],0,0.61,0.333,154933,0.595,1985-1989
315,1973,ひこうき雲,['Yumi Arai'],55,0.403,0.432,206164,0.246,1970-1974
319,2012,We Are Never Ever Getting Back Together,['Taylor Swift'],75,0.628,0.676,193146,0.75,2010-2014
328,2006,I Bet You Look Good On The Dancefloor,['Arctic Monkeys'],72,0.535,0.948,173680,0.778,2005-2009
345,2010,The Man With The Bag,['Kay Starr'],23,0.674,0.319,160640,0.747,2010-2014
348,2013,Wrapped in Red,['Kelly Clarkson'],37,0.54,0.734,216906,0.36,2010-2014
349,2011,くだらないの中に,['Gen Hoshino'],48,0.532,0.392,260152,0.354,2010-2014
361,2013,やさしくなりたい,['Kazuyoshi Saito'],56,0.496,0.915,316106,0.446,2010-2014
391,2014,One Last Time,['Ariana Grande'],48,0.631,0.601,197253,0.104,2010-2014
415,1965,Rudolph The Red-Nosed Reindeer,['Burl Ives'],44,0.67,0.275,130026,0.806,1965-1969
467,2004,くるみ,['Mr.Children'],46,0.568,0.685,330306,0.286,2000-2004
504,2007,Paper Planes,['M.I.A.'],70,0.447,0.848,203760,0.485,2005-2009
518,1988,Fairytale of New York (feat. Kirsty MacColl),"['The Pogues', 'Kirsty MacColl']",58,0.319,0.651,272200,0.474,1985-1989
531,2007,Stronger,['Kanye West'],15,0.625,0.726,311866,0.483,2005-2009
555,1993,(It Must've Been Ol') Santa Claus,"['Harry Connick, Jr.']",6,0.58,0.496,276400,0.762,1990-1994
569,2005,サクラ咲ケ,['ARASHI'],53,0.429,0.924,262144,0.518,2005-2009
580,2014,Problem,"['Ariana Grande', 'Iggy Azalea']",6,0.654,0.797,193893,0.61,2010-2014
586,2003,Little Christmas Tree - With Spoken Intro,['Michael Jackson'],19,0.493,0.431,217026,0.335,2000-2004
599,1992,Jingle Bell Rock,['Bobby Helms'],57,0.754,0.424,130973,0.806,1990-1994
628,1983,Jingle Bell Rock - Daryl's Version,['Daryl Hall & John Oates'],50,0.666,0.841,126360,0.84,1980-1984
699,2002,youthful days,['Mr.Children'],31,0.486,0.927,314640,0.55,2000-2004
787,2012,Santa Claus Is Coming To Town,['Rod Stewart'],34,0.749,0.466,166653,0.648,2010-2014
788,2005,"Lose Yourself - From ""8 Mile"" Soundtrack",['Eminem'],78,0.692,0.744,326466,0.0612,2005-2009
804,1994,innocent world,['Mr.Children'],49,0.612,0.664,344906,0.662,1990-1994
812,1994,All I Want for Christmas Is You,['Mariah Carey'],68,0.335,0.625,241106,0.346,1990-1994
816,2014,My Type,['Saint Motel'],25,0.595,0.896,204811,0.567,2010-2014
841,1996,Bella ciao,"['Interpreti dello spettacolo ""Bella Ciao""']",58,0.596,0.389,96400,0.938,1995-1999
861,1994,Black Hole Sun,['Soundgarden'],50,0.361,0.728,318000,0.155,1990-1994
866,2007,CHE. R. RY,['YUI'],43,0.599,0.911,209973,0.644,2005-2009
875,2005,さくら,['Ketsumeishi'],59,0.713,0.838,316040,0.848,2005-2009
918,2000,One Step Closer,['Linkin Park'],75,0.492,0.969,157333,0.538,2000-2004
923,1983,I'm Still Standing,['Elton John'],81,0.504,0.904,183440,0.772,1980-1984
927,2014,Do They Know It's Christmas? - 2014,['Band Aid 30'],3,0.626,0.541,228916,0.255,2010-2014
940,2004,Let Me Love You,['Mario'],61,0.681,0.586,249093,0.604,2000-2004
955,2009,The Happiest Christmas Tree - 2009 Digital Remaster,['Nat King Cole'],2,0.494,0.644,105346,0.866,2005-2009
962,2014,Mess Is Mine,['Vance Joy'],66,0.595,0.723,223640,0.272,2010-2014
984,1999,8 Days of Christmas,"[""Destiny's Child""]",32,0.687,0.843,210133,0.638,1995-1999
997,2014,Shut Up and Dance,['WALK THE MOON'],72,0.578,0.866,199080,0.619,2010-2014
1023,2013,My Number,['Foals'],70,0.639,0.744,240533,0.825,2010-2014
1037,1981,守ってあげたい,['Yumi Matsutoya'],48,0.729,0.476,267179,0.562,1980-1984
1044,2005,Feel Good Inc.,['Gorillaz'],81,0.818,0.705,222640,0.772,2005-2009
1054,2014,あなたを想う風,['HY'],47,0.369,0.723,273013,0.266,2010-2014
1077,2014,Have Yourself A Merry Little Christmas,['Sam Smith'],53,0.438,0.178,170964,0.344,2010-2014
1079,2006,Chelsea Dagger,['The Fratellis'],68,0.511,0.815,215306,0.586,2005-2009
1087,2011,"You Need Me, I Don't Need You",['Ed Sheeran'],64,0.749,0.837,220413,0.927,2010-2014
1110,1993,Mary Jane's Last Dance,['Tom Petty and the Heartbreakers'],6,0.451,0.669,272133,0.523,1990-1994
1111,1967,What Christmas Means To Me,['Stevie Wonder'],40,0.478,0.542,147226,0.821,1965-1969
1124,2001,Feliz Navidad,['José Feliciano'],52,0.485,0.857,182360,0.963,2000-2004
1134,1998,Vindaloo,['Fat Les'],43,0.647,0.969,221000,0.342,1995-1999
1153,2012,What Makes You Beautiful,['One Direction'],80,0.726,0.787,199986,0.888,2010-2014
1169,2012,Radioactive,['Imagine Dragons'],15,0.473,0.777,186813,0.21,2010-2014
1178,2013,The Motion,['Drake'],53,0.676,0.717,241000,0.558,2010-2014
1180,2013,September,"['Earth, Wind & Fire']",16,0.693,0.911,216520,0.982,2010-2014
1237,1977,The Chain - 2004 Remaster,['Fleetwood Mac'],79,0.545,0.67,270213,0.481,1975-1979
1244,2013,Blue Christmas,"['Elvis Presley', 'Martina McBride']",12,0.461,0.608,148546,0.668,2010-2014
1246,2009,It's Only Christmas,['Ronan Keating'],31,0.444,0.526,204120,0.246,2005-2009
1257,2008,truth,['ARASHI'],3,0.628,0.964,291160,0.797,2005-2009
1260,1992,DIAMONDS (ダイアモンド),['Princess Princess'],54,0.676,0.949,299066,0.856,1990-1994
1262,2008,O Christmas Tree,['Tony Bennett'],39,0.445,0.0982,207253,0.085,2005-2009
1267,2013,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",['Ed Sheeran'],75,0.581,0.0549,300840,0.234,2010-2014
1290,2011,All I Want for Christmas Is You,['Michael Bublé'],33,0.503,0.465,171826,0.143,2010-2014
1291,2005,Lonely This Christmas,['Mud'],30,0.551,0.325,213160,0.496,2005-2009
1313,2013,Counting Stars,['OneRepublic'],81,0.664,0.705,257266,0.477,2010-2014
1321,2014,The Days,['Avicii'],68,0.59,0.724,278480,0.526,2010-2014
1322,2009,I Gotta Feeling,['Black Eyed Peas'],18,0.743,0.766,289133,0.61,2005-2009
1344,2005,"Dias De Luta, Dias De Gloria",['Charlie Brown Jr.'],66,0.346,0.433,145466,0.768,2005-2009
1355,2011,Lego House,['Ed Sheeran'],60,0.592,0.637,185093,0.565,2010-2014
1396,2013,All of Me,['John Legend'],86,0.422,0.264,269560,0.331,2010-2014
1400,2014,Break Free,"['Ariana Grande', 'Zedd']",10,0.687,0.702,214840,0.284,2010-2014
1426,2010,Shake Up Christmas,['Train'],48,0.458,0.831,232213,0.572,2010-2014
1429,1989,New Orleans Is Sinking,['The Tragically Hip'],55,0.596,0.608,257440,0.668,1985-1989
1448,2011,Christmas Without You,['OneRepublic'],30,0.262,0.676,197146,0.364,2010-2014
1453,2012,Sleigh Ride,['fun.'],0,0.555,0.738,217000,0.352,2010-2014
1476,2013,Wake Me Up,['Avicii'],85,0.532,0.783,247426,0.643,2010-2014
1489,2004,世界でいちばん熱い夏,['Princess Princess'],47,0.687,0.831,225266,0.639,2000-2004
1500,2014,さよならの前に,['AAA'],57,0.545,0.853,320373,0.525,2010-2014
1531,1984,Radio Ga Ga - 2011 Mix,['Queen'],76,0.744,0.502,348226,0.66,1980-1984
1564,1992,もう恋なんてしない,['Noriyuki Makihara'],55,0.731,0.809,272706,0.887,1990-1994
1572,1980,Crazy Little Thing Called Love - Remastered 2011,['Queen'],75,0.599,0.761,163373,0.712,1980-1984
1573,2011,Shooting Stars,['Bag Raiders'],74,0.636,0.72,235813,0.425,2010-2014
1643,1988,Le pénitencier,['Johnny Hallyday'],11,0.357,0.362,242706,0.306,1985-1989
1686,2010,Wherever you are,['ONE OK ROCK'],62,0.379,0.69,295600,0.288,2010-2014
1696,2003,Tři Oříšky Pro Popelku (Motiv I.) - Úvod,"['Stepan Konicek', 'Filmový symfonický orchestr']",39,0.44,0.536,277893,0.292,2000-2004
1703,2005,光榮之橋,['Yuzu'],30,0.552,0.39,326600,0.194,2005-2009
1748,1991,Mistletoe and Wine,['Cliff Richard'],42,0.498,0.432,245333,0.364,1990-1994
1819,1975,A Spaceman Came Travelling,['Chris de Burgh'],1,0.339,0.218,311573,0.0691,1975-1979
1840,2006,楓,['SPITZ'],49,0.419,0.726,324626,0.367,2005-2009
1842,2008,Truth,['ARASHI'],55,0.611,0.97,288909,0.722,2005-2009
1915,1992,Christmas All Over Again,['Tom Petty and the Heartbreakers'],37,0.521,0.831,254200,0.693,1990-1994
1933,2005,大切なもの,['Road Of Major'],53,0.394,0.937,188133,0.755,2005-2009
1954,2012,Red Red Wine,['UB40'],50,0.858,0.396,183853,0.831,2010-2014
1975,1994,I Wish You A Merry Christmas,['Bing Crosby'],1,0.421,0.172,115333,0.633,1990-1994
1999,1987,Faith - Remastered,['George Michael'],75,0.887,0.48,193200,0.607,1985-1989
2019,1977,We Will Rock You - Remastered,['Queen'],80,0.692,0.497,122066,0.475,1975-1979
2038,2007,Happiness,['ARASHI'],3,0.591,0.915,258250,0.712,2005-2009
2051,2011,Kiss Me,['Ed Sheeran'],73,0.589,0.227,280853,0.182,2010-2014
2057,1970,Mele Kalikimaka - Single Version,"['Bing Crosby', 'The Andrews Sisters']",0,0.463,0.285,173933,0.525,1970-1974
2065,1991,Rockin' Around The Christmas Tree - Single Version,['Brenda Lee'],2,0.703,0.407,125826,0.849,1990-1994
2095,2014,Break Free,"['Ariana Grande', 'Zedd']",45,0.686,0.702,214840,0.29,2010-2014
2100,1977,Go Your Own Way - 2004 Remaster,['Fleetwood Mac'],75,0.583,0.947,223613,0.803,1975-1979
2122,1980,The Boys Light Up - Remastered,['Australian Crawl'],60,0.619,0.935,281466,0.704,1980-1984
2131,2008,Beautiful World,['Hikaru Utada'],0,0.684,0.827,317946,0.346,2005-2009
2134,2013,Counting Stars,['OneRepublic'],14,0.662,0.71,257266,0.465,2010-2014
2139,2002,A Day in Our Life,['ARASHI'],48,0.704,0.977,285633,0.679,2000-2004
2156,1986,Tempo Perdido,['Legião Urbana'],69,0.293,0.662,302200,0.221,1985-1989
2158,2014,高嶺の花子さん,['back number'],70,0.54,0.923,294813,0.343,2010-2014
2160,2005,"Lose Yourself - From ""8 Mile"" Soundtrack",['Eminem'],19,0.701,0.728,326466,0.0591,2005-2009
2177,2011,迷宮ラブソング,['ARASHI'],50,0.56,0.875,276408,0.593,2010-2014
2185,2014,366日,['HY'],47,0.381,0.427,353466,0.179,2010-2014
2206,2002,君が好き,['Mr.Children'],45,0.483,0.51,270000,0.314,2000-2004
2212,1985,Quelque chose de Tennessee,['Johnny Hallyday'],0,0.517,0.354,251666,0.329,1985-1989
2215,2007,Leave Out All The Rest,['Linkin Park'],14,0.514,0.637,209306,0.18,2005-2009
2216,2008,One Love,['ARASHI'],59,0.552,0.938,285459,0.699,2005-2009
2222,1993,Linger,['The Cranberries'],15,0.438,0.428,274760,0.209,1990-1994
2286,2012,CASTLE OF GLASS,['Linkin Park'],72,0.615,0.911,205400,0.685,2010-2014
2293,2013,Do I Wanna Know?,['Arctic Monkeys'],63,0.548,0.532,272394,0.405,2010-2014
2326,2005,Gold Digger,"['Kanye West', 'Jamie Foxx']",63,0.631,0.696,207626,0.621,2005-2009
2347,2014,ひまわりの約束,['Motohiro Hata'],52,0.611,0.12,324880,0.368,2010-2014
2350,2012,It's Christmas Time Again,['Backstreet Boys'],0,0.526,0.701,202626,0.761,2010-2014
2358,2011,Set Fire to the Rain,['Adele'],75,0.61,0.683,241693,0.466,2010-2014
2371,1996,Wannabe,['Spice Girls'],80,0.768,0.864,173026,0.891,1995-1999
2457,2000,Christmas Time,['Backstreet Boys'],10,0.549,0.712,256200,0.445,2000-2004
